idx	impl	1H_DSSD_E	1H_Veto_E	2H_DSSD_E	2H_Veto_E	3H_DSSD_E	3H_Veto_E	3He_DSSD_E	3He_Veto_E	4He_DSSD_E	4He_Veto_E
254	25400000	1135310	1278870	1989130	2162600	2955760	3237360	14485770	10914230	19923250	5476750
255	25500000	1058480	1103800	2179380	2011980	2964740	3087430	14217850	11282150	20170596	5329404
256	25600000	1175340	1301200	2095850	2138200	2917130	3159600	14137620	11462380	19226016	6373984
257	25700000	1313200	1197310	1970780	2155920	2946820	3299910	13436750	12263250	19508233	6191767
258	25800000	1235330	1421600	2065920	2172920	2828530	3303050	13623950	12176050	18763083	7036917
259	25900000	1174850	1171050	2121430	2289820	2866130	3052000	13579090	12320910	19537890	6362110
260	26000000	1170910	1175680	1906550	2201520	2652430	3072040	13838660	12161340	18857192	7142808
261	26100000	1040310	1213760	1958740	2121840	2838340	3089940	13480970	12619030	18674660	7425340
262	26200000	1111070	1212110	1893330	2045440	2745310	3053640	13640110	12559890	19075415	7124585
263	26300000	1257950	1297520	2156270	2200360	2713130	3088110	13362060	12937940	18362526	7937474
264	26400000	1020210	1259300	2028520	2278440	2895780	3034200	13687300	12712700	18392476	8007524
265	26500000	1313100	1117040	1944370	2155160	2796820	3017400	13190210	13309790	18271578	8228422
266	26600000	1231320	1104150	2148710	2234530	2736760	3044520	13232600	13367400	18629357	7970643
267	26700000	1225460	1225230	2046820	2077450	2627090	2925650	13022230	13677770	18186361	8513639
268	26800000	1064080	1265290	1977200	1937480	2766380	2941610	13349120	13450880	17965453	8834547
269	26900000	1111980	1288870	2014120	2057190	2760950	2975890	13105230	13794770	17791497	9108503
270	27000000	1140170	1009850	2036380	2122080	2794570	3033850	12444310	14555690	17794208	9205792
271	27100000	1101320	1009350	1840740	2083630	2583480	2942440	12805590	14294410	17430438	9669562
272	27200000	1189100	1142610	1890580	2028230	2586180	3029750	12700460	14499540	17509959	9690041
273	27300000	1072490	1105220	1886570	2141410	2720780	3071540	12353560	14946440	17958620	9341380
274	27400000	1157560	868550	1935070	2106430	2648490	3044330	12699600	14700400	17546457	9853543
275	27500000	1096780	1209890	2033040	2139590	2694030	2899600	12464830	15035170	17235050	10264950
276	27600000	1047350	1108320	2082620	2063230	2668080	2771570	12973190	14626810	16945730	10654270
277	27700000	1103690	1293150	1927820	1914450	2836300	2959030	12354590	15345410	16668700	11031300
278	27800000	1094210	1108190	1955050	1998410	2622510	2785320	12167330	15632670	16722530	11077470
279	27900000	1089350	1145600	1854610	2116370	2677710	3059580	12497290	15402710	16794170	11105830
280	28000000	1084330	1071830	1816540	2099980	2658400	3090970	12470480	15529520	17097340	10902660
281	28100000	1188770	1165970	1924100	2004070	2555500	2722540	12562460	15537540	16732650	11367350
282	28200000	1095120	1109350	1867330	1890800	2620770	2835130	12080390	16119610	16578030	11621970
283	28300000	1198850	1057980	1932070	1966900	2678390	2920930	12088340	16211660	16321180	11978820
284	28400000	1107210	1118660	2035180	1982170	2699540	2845730	12383630	16016370	16555820	11844180
285	28500000	886780	1128480	1845000	1883630	2643430	2864180	12273670	16226330	16015300	12484700
286	28600000	1169790	1056870	1976600	2098490	2759230	2892040	11894190	16705810	15810660	12789340
287	28700000	1023170	1218880	1738570	1971670	2589890	2672350	11950440	16749560	16008090	12691910
288	28800000	1204180	1095140	1916260	1984440	2518240	2671490	11691320	17108680	15970470	12829530
289	28900000	938820	1100650	1886570	1945010	2560210	2765740	11998980	16901020	16087680	12812320
290	29000000	1086110	1190130	1817010	1974030	2542310	2744400	11657580	17342420	15925250	13074750
291	29100000	1175700	1096090	1898890	1960960	2592290	2712270	11669610	17430390	16032400	13067600
292	29200000	951220	1277930	1902150	1876520	2682480	2821240	11496210	17703790	15573950	13626050
293	29300000	1088750	1117620	1868770	1975610	2596860	2785530	11737450	17562550	15689550	13610450
294	29400000	1004540	1043390	1872640	1879720	2530220	2802720	11552640	17847360	15036840	14363160
295	29500000	1040840	1038780	1844700	1953520	2470770	2768430	11533450	17966550	15314900	14185100
296	29600000	996430	1169770	1903300	1878450	2488520	2693770	11423210	18176790	15553440	14046560
297	29700000	1000100	1079100	1846360	1916630	2492950	2777460	11606930	18093070	15159480	14540520
298	29800000	1138210	1031440	1962240	1949410	2457590	2719210	11560220	18239780	15306400	14493600
299	29900000	973980	1057480	1817170	1937320	2572590	2729260	11804750	18095250	15303620	14596380
300	30000000	1084170	1194810	1854310	1864660	2404030	2583200	11605070	18394930	15159540	14840460
301	30100000	971710	1100790	1575440	1829980	2461990	2662030	11467530	18632470	15133790	14966210
302	30200000	1074130	912780	1842300	1996800	2409590	2729680	11140960	19059040	14829760	15370240
303	30300000	1105910	1035250	1881450	1858350	2551750	2636210	11307640	18992360	14792050	15507950
304	30400000	1165030	1003990	1892970	1843800	2494780	2759040	11218740	19181260	15075020	15324980
305	30500000	1002710	948220	1819850	1878900	2490470	2596450	11623640	18876360	14282250	16217750
306	30600000	1035290	1071630	1831640	1755550	2484490	2689400	10877640	19722360	14798020	15801980
